location_id,location
L-TR,Tumkur Road
L-MR,Magadi Road
L-SN,Sahakar Nagar
L-HL,HSR Layout
L-RJ,Rajajinagar
L-KD,Kadugodi
L-BR,Bannerghatta Road
L-CP,Chamarajpet
L-RTN,RT Nagar
L-HR,Hosur Road
L-KM,Kammanahalli
L-CT,Cox Town
L-IDN,Indiranagar
L-RMN,Ramamurthy Nagar
L-EC,Electronic City
L-KGM,Koramangala
L-BG,Basavanagudi
L-PN,Padmanabhanagar
L-MRD,Mysore Road
L-YL,Yelahanka
L-FT,Frazer Town
L-JY,Jayanagar
L-MJ,Majestic
L-YSP,Yeshwanthpur
L-PY,Peenya
L-MH,Marathahalli
L-KRP,KR Puram
L-HM,Hulimavu
L-SJ,Shivajinagar
L-HN,Hennur
L-DH,Devanahalli
L-RRN,Rajarajeshwari Nagar
L-UL,Ulsoor
L-ST,Shantinagar
L-JPN,JP Nagar
L-CKP,Chickpet
L-LT,Langford Town
L-BTM,BTM Layout
L-SJR,Sarjapur Road
L-BL,Bellandur
L-RT,Richmond Town
L-KG,Kengeri
L-BNS,Banashankari
L-VJ,Vijayanagar
L-ML,Malleshwaram
L-WF,Whitefield
L-MGR,MG Road
L-HB,Hebbal
L-NB,Nagarbhavi
L-VT,Varthur
